,booth_id,booth_name,brand_name,address,address_disp,new_address,new_address_disp,homepage,pay_keywords,booth_category,x,y,tel
0,2047500612,인생네컷 목동로데오점,인생네컷,서울 양천구 신정동 988-5 목동중앙하이츠펠리시티,서울|양천구|신정동|988-5|목동중앙하이츠펠리시티,서울 양천구 오목로 212,서울|양천구||오목로|212|목동중앙하이츠펠리시티,https://lifefourcuts.com/,제로페이,photoBooth,469358,1118343,010-8319-0580
1,1576627251,인생네컷 양천신정네거리점,인생네컷,서울 양천구 신정동 973-33 1층,서울|양천구|신정동|973-33|1층,서울 양천구 신월로 295,서울|양천구||신월로|295|1층,https://lifefourcuts.com,제로페이,photoBooth,467707,1117246,010-2680-4490
2,809837965,포토시그니처 신정네거리점,포토시그니처,서울 양천구 신정동 1183-3 1층 1호,서울|양천구|신정동|1183-3|1층 1호,서울 양천구 중앙로 267,서울|양천구||중앙로|267|1층 1호,http://photosignature.co.kr/,,photoBooth,467422,1116866,
3,301562239,인생네컷 서울구로고척로드점,인생네컷,서울 구로구 고척동 52-201 지하 1층,서울|구로구|고척동|52-201|지하 1층,서울 구로구 경인로47길 14,서울|구로구||경인로47길|14|지하 1층,https://lifefourcuts.com,,photoBooth,470609,1111348,010-6286-8924
4,1410957496,포토이즘박스 동양미래대학점,포토이즘박스,서울 구로구 고척동 76-133 1층,서울|구로구|고척동|76-133|1층,서울 구로구 중앙로6길 48,서울|구로구||중앙로6길|48|1층,http://photoism.co.kr,,photoBooth,470445,1111320,
5,880329977,인생네컷 목동파리공원점,인생네컷,서울 양천구 목동 905-22 목동트윈빌 1층 115호,서울|양천구|목동|905-22|목동트윈빌 1층 115호,서울 양천구 목동동로 339,서울|양천구||목동동로|339|목동트윈빌 1층 115호,https://lifefourcuts.com/,제로페이,photoBooth,472764,1120206,010-8616-0266
6,1399550186,포토이즘박스 목동점,포토이즘박스,서울 양천구 목동 907-5 1층,서울|양천구|목동|907-5|1층,서울 양천구 목동서로 65,서울|양천구||목동서로|65|1층,http://photoism.co.kr,,photoBooth,473244,1121311,
7,360499770,인생네컷 서울문래점,인생네컷,서울 영등포구 문래동2가 41-1,서울|영등포구|문래동2가|41-1|,서울 영등포구 경인로79길 13,서울|영등포구||경인로79길|13|,https://lifefourcuts.com,,photoBooth,476553,1114896,010-5469-3088
8,566353868,포토시그니처 서울까치산역점,포토시그니처,서울 강서구 화곡동 343-1,서울|강서구|화곡동|343-1|,서울 강서구 강서로13길 3,서울|강서구||강서로13길|3|,http://photosignature.co.kr,제로페이,photoBooth,465999,1120237,
9,2114855063,포토이즘박스 문래점,포토이즘박스,서울 영등포구 문래동2가 14-42,서울|영등포구|문래동2가|14-42|,서울 영등포구 도림로131길 13,서울|영등포구||도림로131길|13|,http://photoism.co.kr,,photoBooth,476643,1115084,
10,779554890,인생네컷 NC신구로점,인생네컷,서울 구로구 구로동 573 5층,서울|구로구|구로동|573|5층,서울 구로구 구로중앙로 152,서울|구로구||구로중앙로|152|5층,https://www.instagram.com/life4cut_nc_singuro,제로페이,photoBooth,474086,1111598,010-5469-3088
11,844528751,인생네컷 서울화곡점,인생네컷,서울 강서구 화곡동 1065-1,서울|강서구|화곡동|1065-1|,서울 강서구 화곡로25길 2,서울|강서구||화곡로25길|2|,https://lifefourcuts.com,제로페이,photoBooth,464317,1122774,010-6267-9729
12,274130056,포토시그니처 문래점,포토시그니처,서울 영등포구 문래동2가 44-15 1층,서울|영등포구|문래동2가|44-15|1층,서울 영등포구 경인로79길 16,서울|영등포구||경인로79길|16|1층,http://photosignature.co.kr/,제로페이,photoBooth,476527,1114995,
13,1787432516,포토이즘박스 영등포구청점,포토이즘박스,서울 영등포구 당산동3가 218,서울|영등포구|당산동3가|218|,서울 영등포구 당산로32길 3,서울|영등포구||당산로32길|3|,http://photoism.co.kr,,photoBooth,477296,1118624,
14,213119220,인생네컷 서울목동로드점,인생네컷,서울 양천구 목동 907-5,서울|양천구|목동|907-5|,서울 양천구 목동서로 65,서울|양천구||목동서로|65|,https://lifefourcuts.com,,photoBooth,473205,1121301,010-8931-5974
15,2134179918,인생네컷 서울영등포역점,인생네컷,"서울 영등포구 영등포동3가 22-4 1,2층","서울|영등포구|영등포동3가|22-4|1,2층",서울 영등포구 영중로4길 17-1,"서울|영등포구||영중로4길|17-1|1,2층",https://lifefourcuts.com/,제로페이,photoBooth,479749,1116145,010-2680-4490
16,1626519855,하루필름 영등포점,하루필름,서울 영등포구 영등포동3가 11 1층,서울|영등포구|영등포동3가|11|1층,서울 영등포구 경인로 869-1,서울|영등포구||경인로|869-1|1층,https://www.instagram.com/haru_film_ydp/,,photoBooth,479947,1116127,
17,2146067084,포토이즘박스 영등포점,포토이즘박스,서울 영등포구 영등포동3가 13-11,서울|영등포구|영등포동3가|13-11|,서울 영등포구 영등포로50길 11,서울|영등포구||영등포로50길|11|,http://photoism.co.kr,,photoBooth,479975,1116243,
18,1536139211,인생네컷 남구로점,인생네컷,서울 구로구 구로동 1280 한신휴플러스아파트 상가 2동 2층 225호,서울|구로구|구로동|1280|한신휴플러스아파트 상가 2동 2층 225호,서울 구로구 디지털로31길 120,서울|구로구||디지털로31길|120|한신휴플러스아파트 상가 2동 2층 225호,https://instagram.com/life4cut_ngr?igshid=YmMyMTA2M2Y=,,photoBooth,475733,1108081,010-2079-5571
19,1842759060,인생네컷 광명철산점,인생네컷,경기 광명시 철산동 405 청담빌딩 1층,경기|광명시|철산동|405|청담빌딩 1층,경기 광명시 오리로856번길 15,경기|광명시||오리로856번길|15|청담빌딩 1층,http://www.instagram.com/life4cut_gwangmyeongcheolsan,제로페이,photoBooth,470894,1104469,
20,855525958,포토이즘박스 철산점,포토이즘박스,경기 광명시 철산동 399,경기|광명시|철산동|399|,경기 광명시 오리로854번길 21,경기|광명시||오리로854번길|21|,http://photoism.co.kr,,photoBooth,471080,1104435,
21,79602792,인생네컷 구로디지털단지점,인생네컷,서울 구로구 구로동 1124-23,서울|구로구|구로동|1124-23|,서울 구로구 디지털로32길 87,서울|구로구||디지털로32길|87|,https://lifefourcuts.com,,photoBooth,477914,1106628,010-2392-8770
22,1677444347,포토시그니처 철산점,포토시그니처,경기 광명시 철산동 406 1층 103호,경기|광명시|철산동|406|1층 103호,경기 광명시 오리로856번길 13,경기|광명시||오리로856번길|13|1층 103호,http://photosignature.co.kr/,제로페이,photoBooth,470863,1104448,
23,349217551,인생네컷 서울가산현대점,인생네컷,서울 금천구 가산동 60-8 지하 1층,서울|금천구|가산동|60-8|지하 1층,서울 금천구 디지털로10길 9,서울|금천구||디지털로10길|9|지하 1층,https://lifefourcuts.com,,photoBooth,475499,1105084,010-8495-0821
24,2026676971,하루필름 광명철산점,하루필름,경기 광명시 철산동 411 금봉빌딩 1층 103호,경기|광명시|철산동|411|금봉빌딩 1층 103호,경기 광명시 오리로856번길 8,경기|광명시||오리로856번길|8|금봉빌딩 1층 103호,,,photoBooth,470751,1104312,
25,363213392,인생네컷 가산현대아울렛점,인생네컷,서울 금천구 가산동 60-8 현대시티아울렛 가산점 지하 1층,서울|금천구|가산동|60-8|현대시티아울렛 가산점 지하 1층,서울 금천구 디지털로10길 9,서울|금천구||디지털로10길|9|현대시티아울렛 가산점 지하 1층,https://lifefourcuts.com,,photoBooth,475467,1105065,010-8495-0821
26,298205650,하루필름 마곡점,하루필름,서울 강서구 마곡동 794-1 우성에스비타워 1층 120호,서울|강서구|마곡동|794-1|우성에스비타워 1층 120호,서울 강서구 강서로 385,서울|강서구||강서로|385|우성에스비타워 1층 120호,https://www.instagram.com/haru.film_magok/,,photoBooth,464284,1127965,
27,692242319,인생네컷 서울마곡점,인생네컷,서울 강서구 마곡동 797-4 발산파크프라자,서울|강서구|마곡동|797-4|발산파크프라자,서울 강서구 공항대로 261,서울|강서구||공항대로|261|발산파크프라자,https://lifefourcuts.com/,제로페이,photoBooth,463889,1127705,010-2992-4588
28,351181926,인생네컷 서울NC강서점,인생네컷,서울 강서구 등촌동 689,서울|강서구|등촌동|689|,서울 강서구 강서로56길 17,서울|강서구||강서로56길|17|,https://lifefourcuts.com,,photoBooth,464768,1127920,02-6339-1115
29,1866456068,포토이즘박스 발산역점,포토이즘박스,서울 강서구 마곡동 797-12 105호,서울|강서구|마곡동|797-12|105호,서울 강서구 마곡동로4길 23,서울|강서구||마곡동로4길|23|105호,http://photoism.co.kr,,photoBooth,463815,1127860,
30,11091606,포토이즘박스 망원점,포토이즘박스,서울 마포구 망원동 400-18,서울|마포구|망원동|400-18|,서울 마포구 포은로 88,서울|마포구||포은로|88|,http://photoism.co.kr,,photoBooth,479100,1126500,
31,2114328880,포토이즘박스 원종점,포토이즘박스,경기 부천시 원종동 221-13,경기|부천시|원종동|221-13|,경기 부천시 원종로 33,경기|부천시||원종로|33|,http://photoism.co.kr,,photoBooth,456641,1118021,
32,681656865,인생네컷 망리단길점,인생네컷,서울 마포구 망원동 415-30,서울|마포구|망원동|415-30|,서울 마포구 포은로 109-1,서울|마포구||포은로|109-1|,https://lifefourcuts.com/,제로페이,photoBooth,478897,1127026,010-8772-8872
33,1110128633,1퍼센트 영등포점,1퍼센트,서울 영등포구 영등포동3가 13-12 1층,서울|영등포구|영등포동3가|13-12|1층,서울 영등포구 영등포로50길 9,서울|영등포구||영등포로50길|9|1층,,,photoBooth,479980,1116287,010-5629-1330
34,144635914,문래포토,문래포토,서울 영등포구 문래동2가 43-2,서울|영등포구|문래동2가|43-2|,서울 영등포구 도림로125가길 11,서울|영등포구||도림로125가길|11|,,,photoBooth,476589,1115013,
35,1700893875,포토하임,포토하임,서울 영등포구 영등포동3가 21,서울|영등포구|영등포동3가|21|,서울 영등포구 영중로4길 13-2,서울|영등포구||영중로4길|13-2|,,,photoBooth,479663,1116114,
36,1564287603,흑백사장 더필름 우장산점,흑백사장,서울 강서구 내발산동 722-15 1층,서울|강서구|내발산동|722-15|1층,서울 강서구 강서로45길 28,서울|강서구||강서로45길|28|1층,,,photoBooth,463455,1124633,
37,250927878,인생네컷 합정점,인생네컷,서울 마포구 합정동 413-19 제이하우트 1층,서울|마포구|합정동|413-19|제이하우트 1층,서울 마포구 양화로6길 30,서울|마포구||양화로6길|30|제이하우트 1층,https://lifefourcuts.com/,,photoBooth,481400,1124839,1833-7970
38,1155956238,인생네컷 합정천사곱창로드점,인생네컷,서울 마포구 서교동 400-11,서울|마포구|서교동|400-11|,서울 마포구 양화로6길 79,서울|마포구||양화로6길|79|,https://lifefourcuts.com/,,photoBooth,482036,1124738,
39,748086049,하루필름 망원점,하루필름,서울 마포구 망원동 399-36 1층,서울|마포구|망원동|399-36|1층,서울 마포구 포은로 87,서울|마포구||포은로|87|1층,http://harufilm.com,,photoBooth,479035,1126480,
